path,class,split_type
photo_guit_aug\train\lespaul\IMG20251211003328 (2).png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003344.png,lespaul,train
photo_guit_aug\train\lespaul\IMG20251211003310 (2).png,lespaul,train
photo_guit_aug\val\lespaul\IMG20251211003300 (2).png,lespaul,val
photo_guit_aug\val\lespaul\IMG20251211003320.png,lespaul,val
photo_guit_aug\val\lespaul\IMG20251211003344 (2).png,lespaul,val
photo_guit_aug\val\lespaul\IMG20251211003325.png,lespaul,val
photo_guit_aug\test\lespaul\IMG20251211003336 (2).png,lespaul,test
photo_guit_aug\test\lespaul\IMG20251211003314.png,lespaul,test
photo_guit_aug\test\lespaul\IMG20251211003314 (2).png,lespaul,test
photo_guit_aug\test\lespaul\IMG20251211003300.png,lespaul,test
photo_guit_aug\train\stratocaster\IMG20251211003115.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003031.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003027 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003051 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003100.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003027.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003031 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003118 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003104.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003115 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003118.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003034.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003048 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003100 (2).png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003108.png,stratocaster,train
photo_guit_aug\train\stratocaster\IMG20251211003034 (2).png,stratocaster,train
photo_guit_aug\val\stratocaster\IMG20251211003025 (2).png,stratocaster,val
photo_guit_aug\val\stratocaster\IMG20251211003048.png,stratocaster,val
photo_guit_aug\val\stratocaster\IMG20251211003108 (2).png,stratocaster,val
photo_guit_aug\val\stratocaster\IMG20251211003051.png,stratocaster,val
photo_guit_aug\test\stratocaster\IMG20251211003104 (2).png,stratocaster,test
photo_guit_aug\test\stratocaster\IMG20251211003043.png,stratocaster,test
photo_guit_aug\test\stratocaster\IMG20251211003043 (2).png,stratocaster,test
photo_guit_aug\test\stratocaster\IMG20251211003025.png,stratocaster,test
photo_guit_aug\train\explorer\IMG20251211002946.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002845.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002838 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002928 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002932.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002838.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002845 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002956 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002935.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002946 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002956.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002908.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002926 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002932 (2).png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002940.png,explorer,train
photo_guit_aug\train\explorer\IMG20251211002908 (2).png,explorer,train
photo_guit_aug\val\explorer\IMG20251211002834 (2).png,explorer,val
photo_guit_aug\val\explorer\IMG20251211002926.png,explorer,val
photo_guit_aug\val\explorer\IMG20251211002940 (2).png,explorer,val
photo_guit_aug\val\explorer\IMG20251211002928.png,explorer,val
photo_guit_aug\test\explorer\IMG20251211002935 (2).png,explorer,test
photo_guit_aug\test\explorer\IMG20251211002919.png,explorer,test
photo_guit_aug\test\explorer\IMG20251211002919 (2).png,explorer,test
photo_guit_aug\test\explorer\IMG20251211002834.png,explorer,test
