path,class,split_type
full_guit_aug\train\stratocaster\fender_stratocaster_чёрный_tremolo.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003031 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003048.png,stratocaster,train
full_guit_aug\train\stratocaster\1.dxvTOba42_LlkBn3sVgGPJaY2fRtmFn6pZ3Z8GOQ0_hl.HPTsi_lR3q1Q6MrNqxQXC4gxYBVqZ377mnPrxq0zzbE.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003115 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\fender_stratocaster.png,stratocaster,train
full_guit_aug\train\stratocaster\gibson_lespaul_Чёрный_Tune-o-Matic.png,stratocaster,train
full_guit_aug\train\stratocaster\17341042775951.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003104 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003037 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\504124d3fd21d4ec02e4df938cb3c7107d.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003104.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003118.png,stratocaster,train
full_guit_aug\train\stratocaster\9236091143_fcs_ins_frt_1_rr.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003118 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003048 (2).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003108.png,stratocaster,train
full_guit_aug\train\stratocaster\filters_quality(80)_format(png).png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003037.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003031.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003034.png,stratocaster,train
full_guit_aug\train\stratocaster\fender_stratocaster_белый_статический.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003025.png,stratocaster,train
full_guit_aug\train\stratocaster\IMG20251211003100.png,stratocaster,train
full_guit_aug\train\stratocaster\s-l1200 (1).png,stratocaster,train
full_guit_aug\val\stratocaster\IMG20251211003027.png,stratocaster,val
full_guit_aug\val\stratocaster\fender_stratocaster_чёрный_статический.png,stratocaster,val
full_guit_aug\val\stratocaster\custom-shop-strat-1960-rw-cz546917-hd-169490.png,stratocaster,val
full_guit_aug\val\stratocaster\IMG20251211003100 (2).png,stratocaster,val
full_guit_aug\val\stratocaster\IMG20251211003051.png,stratocaster,val
full_guit_aug\val\stratocaster\qyltohpqbjgplkws4vt4ah0bxm1w9vzc.png,stratocaster,val
full_guit_aug\test\stratocaster\IMG20251211003051 (2).png,stratocaster,test
full_guit_aug\test\stratocaster\fender_stratocaster_белый_tremolo.png,stratocaster,test
full_guit_aug\test\stratocaster\IMG20251211003034 (2).png,stratocaster,test
full_guit_aug\test\stratocaster\s-l1200.png,stratocaster,test
full_guit_aug\test\stratocaster\gitara.png,stratocaster,test
full_guit_aug\test\stratocaster\IMG20251211003027 (2).png,stratocaster,test
full_guit_aug\train\explorer\IMG20251211002842 (2).png,explorer,train
full_guit_aug\train\explorer\IMG20251211002946 (2).png,explorer,train
full_guit_aug\train\explorer\IMG20251211002956.png,explorer,train
full_guit_aug\train\explorer\IGCKEXBANAGH3_beauty.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002908 (2).png,explorer,train
full_guit_aug\train\explorer\IMG20251211002928.png,explorer,train
full_guit_aug\train\explorer\12324807_800_0x400.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002956 (2).png,explorer,train
full_guit_aug\train\explorer\50df8266ce1b13d6710c20ab2ffae42a.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002838 (2).png,explorer,train
full_guit_aug\train\explorer\1507738909.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002940 (2).png,explorer,train
full_guit_aug\train\explorer\IMG20251211002926 (2).png,explorer,train
full_guit_aug\train\explorer\1cb2f2c309584596db81de41894ad609.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002940.png,explorer,train
full_guit_aug\train\explorer\img_93471.png,explorer,train
full_guit_aug\train\explorer\20160331203613-01-IMGP5867.png,explorer,train
full_guit_aug\train\explorer\img_107287.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002928 (2).png,explorer,train
full_guit_aug\train\explorer\IMG20251211002946.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002834.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002926.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002908.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002919.png,explorer,train
full_guit_aug\train\explorer\b5b740239be00061d63f22bb1c14a17f.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002842.png,explorer,train
full_guit_aug\train\explorer\IMG20251211002935.png,explorer,train
full_guit_aug\train\explorer\s-l1600.png,explorer,train
full_guit_aug\val\explorer\IMG20251211002853.png,explorer,val
full_guit_aug\val\explorer\IMG20251211002834 (2).png,explorer,val
full_guit_aug\val\explorer\20231024201018-EB4.6W20-20FRONT20VERTICAL-396x1024.png,explorer,val
full_guit_aug\val\explorer\IMG20251211002935 (2).png,explorer,val
full_guit_aug\val\explorer\IMG20251211002932.png,explorer,val
full_guit_aug\val\explorer\maxresdefault.png,explorer,val
full_guit_aug\test\explorer\IMG20251211002932 (2).png,explorer,test
full_guit_aug\test\explorer\9feca0fc5f55bc9c4b42d4a81509e298.png,explorer,test
full_guit_aug\test\explorer\IMG20251211002919 (2).png,explorer,test
full_guit_aug\test\explorer\s-l500.png,explorer,test
full_guit_aug\test\explorer\IMG20251211002838.png,explorer,test
full_guit_aug\test\explorer\IMG20251211002853 (2).png,explorer,test
