original_path,processed_path,class,class_idx,original_size,processed_size,mode
full_guit\raw\acoustic\IMG20251211003524.jpg,full_guit\processed\acoustic\IMG20251211003524.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003529 (2).jpg,full_guit\processed\acoustic\IMG20251211003529 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003529.jpg,full_guit\processed\acoustic\IMG20251211003529.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003538 (2).jpg,full_guit\processed\acoustic\IMG20251211003538 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003538.jpg,full_guit\processed\acoustic\IMG20251211003538.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003543 (2).jpg,full_guit\processed\acoustic\IMG20251211003543 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003543.jpg,full_guit\processed\acoustic\IMG20251211003543.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003547 (2).jpg,full_guit\processed\acoustic\IMG20251211003547 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003547.jpg,full_guit\processed\acoustic\IMG20251211003547.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003631 (2).jpg,full_guit\processed\acoustic\IMG20251211003631 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003631.jpg,full_guit\processed\acoustic\IMG20251211003631.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003637 (2).jpg,full_guit\processed\acoustic\IMG20251211003637 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003637.jpg,full_guit\processed\acoustic\IMG20251211003637.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003643 (2).jpg,full_guit\processed\acoustic\IMG20251211003643 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003643.jpg,full_guit\processed\acoustic\IMG20251211003643.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003646 (2).jpg,full_guit\processed\acoustic\IMG20251211003646 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003646.jpg,full_guit\processed\acoustic\IMG20251211003646.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003650 (2).jpg,full_guit\processed\acoustic\IMG20251211003650 (2).png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\IMG20251211003650.jpg,full_guit\processed\acoustic\IMG20251211003650.png,acoustic,0,"(9000, 12000)","(64, 64)",L
full_guit\raw\acoustic\Снимок2.JPG,full_guit\processed\acoustic\Снимок2.png,acoustic,0,"(1094, 883)","(64, 64)",L
full_guit\raw\acoustic\407117.970.png,full_guit\processed\acoustic\407117.970.png,acoustic,0,"(970, 623)","(64, 64)",L
full_guit\raw\acoustic\pm_main_ag_pf_us (1).png,full_guit\processed\acoustic\pm_main_ag_pf_us (1).png,acoustic,0,"(474, 747)","(64, 64)",L
full_guit\raw\acoustic\pw_310m_ns_akusticheskaya_gitara_s_keysom_l_1_0.png,full_guit\processed\acoustic\pw_310m_ns_akusticheskaya_gitara_s_keysom_l_1_0.png,acoustic,0,"(976, 510)","(64, 64)",L
full_guit\raw\acoustic\p_region_PN12E_VMS_3U_09.png,full_guit\processed\acoustic\p_region_PN12E_VMS_3U_09.png,acoustic,0,"(2600, 862)","(64, 64)",L
full_guit\raw\acoustic\s-l960.png,full_guit\processed\acoustic\s-l960.png,acoustic,0,"(960, 960)","(64, 64)",L
full_guit\raw\lespaul\4_Красный_Tune-o-Matic.jpg,full_guit\processed\lespaul\4_Красный_Tune-o-Matic.png,lespaul,1,"(504, 1421)","(64, 64)",L
full_guit\raw\lespaul\68291a9e9e5e9_666182bc43da0_gibson_lespaul.jpg,full_guit\processed\lespaul\68291a9e9e5e9_666182bc43da0_gibson_lespaul.png,lespaul,1,"(952, 376)","(64, 64)",L
full_guit\raw\lespaul\gibson-les-paul-standard-60s-unburst-gitara-elektricna.jpg,full_guit\processed\lespaul\gibson-les-paul-standard-60s-unburst-gitara-elektricna.png,lespaul,1,"(700, 800)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003300 (2).jpg,full_guit\processed\lespaul\IMG20251211003300 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003300.jpg,full_guit\processed\lespaul\IMG20251211003300.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003304 (2).jpg,full_guit\processed\lespaul\IMG20251211003304 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003304.jpg,full_guit\processed\lespaul\IMG20251211003304.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003307 (2).jpg,full_guit\processed\lespaul\IMG20251211003307 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003307.jpg,full_guit\processed\lespaul\IMG20251211003307.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003310 (2).jpg,full_guit\processed\lespaul\IMG20251211003310 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003310.jpg,full_guit\processed\lespaul\IMG20251211003310.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003314 (2).jpg,full_guit\processed\lespaul\IMG20251211003314 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003314.jpg,full_guit\processed\lespaul\IMG20251211003314.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003320 (2).jpg,full_guit\processed\lespaul\IMG20251211003320 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003320.jpg,full_guit\processed\lespaul\IMG20251211003320.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003325 (2).jpg,full_guit\processed\lespaul\IMG20251211003325 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003325.jpg,full_guit\processed\lespaul\IMG20251211003325.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003336 (2).jpg,full_guit\processed\lespaul\IMG20251211003336 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003336.jpg,full_guit\processed\lespaul\IMG20251211003336.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003344 (2).jpg,full_guit\processed\lespaul\IMG20251211003344 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003344.jpg,full_guit\processed\lespaul\IMG20251211003344.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003352 (2).jpg,full_guit\processed\lespaul\IMG20251211003352 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003352.jpg,full_guit\processed\lespaul\IMG20251211003352.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003354 (2).jpg,full_guit\processed\lespaul\IMG20251211003354 (2).png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\IMG20251211003354.jpg,full_guit\processed\lespaul\IMG20251211003354.png,lespaul,1,"(9000, 12000)","(64, 64)",L
full_guit\raw\lespaul\1744574_2.png,full_guit\processed\lespaul\1744574_2.png,lespaul,1,"(800, 800)","(64, 64)",L
full_guit\raw\lespaul\21da0714-22f5-4172-8198-a16708d981d8.png,full_guit\processed\lespaul\21da0714-22f5-4172-8198-a16708d981d8.png,lespaul,1,"(990, 400)","(64, 64)",L
full_guit\raw\lespaul\2e9d834ba08d42b84116078aff22eac5.png,full_guit\processed\lespaul\2e9d834ba08d42b84116078aff22eac5.png,lespaul,1,"(447, 582)","(64, 64)",L
full_guit\raw\lespaul\608.png,full_guit\processed\lespaul\608.png,lespaul,1,"(800, 600)","(64, 64)",L
full_guit\raw\lespaul\beauty-banner-1600_900.png,full_guit\processed\lespaul\beauty-banner-1600_900.png,lespaul,1,"(1600, 900)","(64, 64)",L
full_guit\raw\lespaul\clear_660108_1.png,full_guit\processed\lespaul\clear_660108_1.png,lespaul,1,"(800, 800)","(64, 64)",L
full_guit\raw\lespaul\custom-shop-les-paul-custom-1957-reissue-2-pickup-2019-eb-hd-161301.png,full_guit\processed\lespaul\custom-shop-les-paul-custom-1957-reissue-2-pickup-2019-eb-hd-161301.png,lespaul,1,"(1771, 1800)","(64, 64)",L
full_guit\raw\lespaul\df3eee53c93ee208149679b70d5e390e.png,full_guit\processed\lespaul\df3eee53c93ee208149679b70d5e390e.png,lespaul,1,"(500, 500)","(64, 64)",L
full_guit\raw\lespaul\ekyf4o4slxy3e8bijl2s3f7j9a9v13yy.png,full_guit\processed\lespaul\ekyf4o4slxy3e8bijl2s3f7j9a9v13yy.png,lespaul,1,"(840, 510)","(64, 64)",L
full_guit\raw\lespaul\image.png,full_guit\processed\lespaul\image.png,lespaul,1,"(255, 198)","(64, 64)",L
full_guit\raw\lespaul\l0jwhfbesaqcq4ztciqm85ouablzsjro.png,full_guit\processed\lespaul\l0jwhfbesaqcq4ztciqm85ouablzsjro.png,lespaul,1,"(2000, 2000)","(64, 64)",L
full_guit\raw\lespaul\LPS6P00M2NH1_front.png,full_guit\processed\lespaul\LPS6P00M2NH1_front.png,lespaul,1,"(1200, 1200)","(64, 64)",L
full_guit\raw\lespaul\s-l400.png,full_guit\processed\lespaul\s-l400.png,lespaul,1,"(267, 400)","(64, 64)",L
full_guit\raw\lespaul\scale_1200.png,full_guit\processed\lespaul\scale_1200.png,lespaul,1,"(990, 400)","(64, 64)",L
full_guit\raw\lespaul\screen_shot_20140611_at_11.04.27_am_0_657.png,full_guit\processed\lespaul\screen_shot_20140611_at_11.04.27_am_0_657.png,lespaul,1,"(657, 279)","(64, 64)",L
full_guit\raw\stratocaster\fender_stratocaster.jpg,full_guit\processed\stratocaster\fender_stratocaster.png,stratocaster,2,"(2389, 780)","(64, 64)",L
full_guit\raw\stratocaster\fender_stratocaster_белый_tremolo.jpg,full_guit\processed\stratocaster\fender_stratocaster_белый_tremolo.png,stratocaster,2,"(128, 394)","(64, 64)",L
full_guit\raw\stratocaster\fender_stratocaster_белый_статический.jpg,full_guit\processed\stratocaster\fender_stratocaster_белый_статический.png,stratocaster,2,"(2389, 780)","(64, 64)",L
full_guit\raw\stratocaster\fender_stratocaster_чёрный_tremolo.jpg,full_guit\processed\stratocaster\fender_stratocaster_чёрный_tremolo.png,stratocaster,2,"(2258, 734)","(64, 64)",L
full_guit\raw\stratocaster\fender_stratocaster_чёрный_статический.jpg,full_guit\processed\stratocaster\fender_stratocaster_чёрный_статический.png,stratocaster,2,"(345, 146)","(64, 64)",L
full_guit\raw\stratocaster\gibson_lespaul_Чёрный_Tune-o-Matic.jpg,full_guit\processed\stratocaster\gibson_lespaul_Чёрный_Tune-o-Matic.png,stratocaster,2,"(2389, 780)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003025 (2).jpg,full_guit\processed\stratocaster\IMG20251211003025 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003025.jpg,full_guit\processed\stratocaster\IMG20251211003025.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003027 (2).jpg,full_guit\processed\stratocaster\IMG20251211003027 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003027.jpg,full_guit\processed\stratocaster\IMG20251211003027.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003031 (2).jpg,full_guit\processed\stratocaster\IMG20251211003031 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003031.jpg,full_guit\processed\stratocaster\IMG20251211003031.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003034 (2).jpg,full_guit\processed\stratocaster\IMG20251211003034 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003034.jpg,full_guit\processed\stratocaster\IMG20251211003034.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003037 (2).jpg,full_guit\processed\stratocaster\IMG20251211003037 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003037.jpg,full_guit\processed\stratocaster\IMG20251211003037.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003048 (2).jpg,full_guit\processed\stratocaster\IMG20251211003048 (2).png,stratocaster,2,"(12000, 9000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003048.jpg,full_guit\processed\stratocaster\IMG20251211003048.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003051 (2).jpg,full_guit\processed\stratocaster\IMG20251211003051 (2).png,stratocaster,2,"(12000, 9000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003051.jpg,full_guit\processed\stratocaster\IMG20251211003051.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003100 (2).jpg,full_guit\processed\stratocaster\IMG20251211003100 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003100.jpg,full_guit\processed\stratocaster\IMG20251211003100.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003104 (2).jpg,full_guit\processed\stratocaster\IMG20251211003104 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003104.jpg,full_guit\processed\stratocaster\IMG20251211003104.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003108 (2).jpg,full_guit\processed\stratocaster\IMG20251211003108 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003108.jpg,full_guit\processed\stratocaster\IMG20251211003108.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003115 (2).jpg,full_guit\processed\stratocaster\IMG20251211003115 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003115.jpg,full_guit\processed\stratocaster\IMG20251211003115.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003118 (2).jpg,full_guit\processed\stratocaster\IMG20251211003118 (2).png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\IMG20251211003118.jpg,full_guit\processed\stratocaster\IMG20251211003118.png,stratocaster,2,"(9000, 12000)","(64, 64)",L
full_guit\raw\stratocaster\1.dxvTOba42_LlkBn3sVgGPJaY2fRtmFn6pZ3Z8GOQ0_hl.HPTsi_lR3q1Q6MrNqxQXC4gxYBVqZ377mnPrxq0zzbE.png,full_guit\processed\stratocaster\1.dxvTOba42_LlkBn3sVgGPJaY2fRtmFn6pZ3Z8GOQ0_hl.HPTsi_lR3q1Q6MrNqxQXC4gxYBVqZ377mnPrxq0zzbE.png,stratocaster,2,"(229, 480)","(64, 64)",L
full_guit\raw\stratocaster\17341042775951.png,full_guit\processed\stratocaster\17341042775951.png,stratocaster,2,"(1257, 960)","(64, 64)",L
full_guit\raw\stratocaster\504124d3fd21d4ec02e4df938cb3c7107d.png,full_guit\processed\stratocaster\504124d3fd21d4ec02e4df938cb3c7107d.png,stratocaster,2,"(1200, 627)","(64, 64)",L
full_guit\raw\stratocaster\9236091143_fcs_ins_frt_1_rr.png,full_guit\processed\stratocaster\9236091143_fcs_ins_frt_1_rr.png,stratocaster,2,"(526, 186)","(64, 64)",L
full_guit\raw\stratocaster\custom-shop-strat-1960-rw-cz546917-hd-169490.png,full_guit\processed\stratocaster\custom-shop-strat-1960-rw-cz546917-hd-169490.png,stratocaster,2,"(1800, 1747)","(64, 64)",L
full_guit\raw\stratocaster\filters_quality(80)_format(png).png,full_guit\processed\stratocaster\filters_quality(80)_format(png).png,stratocaster,2,"(1600, 550)","(64, 64)",L
full_guit\raw\stratocaster\gitara.png,full_guit\processed\stratocaster\gitara.png,stratocaster,2,"(450, 300)","(64, 64)",L
full_guit\raw\stratocaster\qyltohpqbjgplkws4vt4ah0bxm1w9vzc.png,full_guit\processed\stratocaster\qyltohpqbjgplkws4vt4ah0bxm1w9vzc.png,stratocaster,2,"(1500, 1500)","(64, 64)",L
full_guit\raw\stratocaster\s-l1200 (1).png,full_guit\processed\stratocaster\s-l1200 (1).png,stratocaster,2,"(609, 609)","(64, 64)",L
full_guit\raw\stratocaster\s-l1200.png,full_guit\processed\stratocaster\s-l1200.png,stratocaster,2,"(1200, 1200)","(64, 64)",L
full_guit\raw\explorer\12324807_800_0x400.jpg,full_guit\processed\explorer\12324807_800_0x400.png,explorer,3,"(1051, 399)","(64, 64)",L
full_guit\raw\explorer\1507738909.jpg,full_guit\processed\explorer\1507738909.png,explorer,3,"(534, 800)","(64, 64)",L
full_guit\raw\explorer\50df8266ce1b13d6710c20ab2ffae42a.jpg,full_guit\processed\explorer\50df8266ce1b13d6710c20ab2ffae42a.png,explorer,3,"(811, 1675)","(64, 64)",L
full_guit\raw\explorer\b5b740239be00061d63f22bb1c14a17f.jpg,full_guit\processed\explorer\b5b740239be00061d63f22bb1c14a17f.png,explorer,3,"(456, 456)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002834 (2).jpg,full_guit\processed\explorer\IMG20251211002834 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002834.jpg,full_guit\processed\explorer\IMG20251211002834.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002838 (2).jpg,full_guit\processed\explorer\IMG20251211002838 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002838.jpg,full_guit\processed\explorer\IMG20251211002838.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002842 (2).jpg,full_guit\processed\explorer\IMG20251211002842 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002842.jpg,full_guit\processed\explorer\IMG20251211002842.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002853 (2).jpg,full_guit\processed\explorer\IMG20251211002853 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002853.jpg,full_guit\processed\explorer\IMG20251211002853.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002908 (2).jpg,full_guit\processed\explorer\IMG20251211002908 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002908.jpg,full_guit\processed\explorer\IMG20251211002908.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002919 (2).jpg,full_guit\processed\explorer\IMG20251211002919 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002919.jpg,full_guit\processed\explorer\IMG20251211002919.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002926 (2).jpg,full_guit\processed\explorer\IMG20251211002926 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002926.jpg,full_guit\processed\explorer\IMG20251211002926.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002928 (2).jpg,full_guit\processed\explorer\IMG20251211002928 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002928.jpg,full_guit\processed\explorer\IMG20251211002928.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002932 (2).jpg,full_guit\processed\explorer\IMG20251211002932 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002932.jpg,full_guit\processed\explorer\IMG20251211002932.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002935 (2).jpg,full_guit\processed\explorer\IMG20251211002935 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002935.jpg,full_guit\processed\explorer\IMG20251211002935.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002940 (2).jpg,full_guit\processed\explorer\IMG20251211002940 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002940.jpg,full_guit\processed\explorer\IMG20251211002940.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002946 (2).jpg,full_guit\processed\explorer\IMG20251211002946 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002946.jpg,full_guit\processed\explorer\IMG20251211002946.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002956 (2).jpg,full_guit\processed\explorer\IMG20251211002956 (2).png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\IMG20251211002956.jpg,full_guit\processed\explorer\IMG20251211002956.png,explorer,3,"(9000, 12000)","(64, 64)",L
full_guit\raw\explorer\img_107287.jpg,full_guit\processed\explorer\img_107287.png,explorer,3,"(664, 672)","(64, 64)",L
full_guit\raw\explorer\img_93471.jpg,full_guit\processed\explorer\img_93471.png,explorer,3,"(2000, 781)","(64, 64)",L
full_guit\raw\explorer\maxresdefault.jpg,full_guit\processed\explorer\maxresdefault.png,explorer,3,"(1280, 720)","(64, 64)",L
full_guit\raw\explorer\s-l1600.jpg,full_guit\processed\explorer\s-l1600.png,explorer,3,"(899, 899)","(64, 64)",L
full_guit\raw\explorer\20160331203613-01-IMGP5867.jpeg,full_guit\processed\explorer\20160331203613-01-IMGP5867.png,explorer,3,"(687, 311)","(64, 64)",L
full_guit\raw\explorer\1cb2f2c309584596db81de41894ad609.png,full_guit\processed\explorer\1cb2f2c309584596db81de41894ad609.png,explorer,3,"(384, 905)","(64, 64)",L
full_guit\raw\explorer\20231024201018-EB4.6W20-20FRONT20VERTICAL-396x1024.png,full_guit\processed\explorer\20231024201018-EB4.6W20-20FRONT20VERTICAL-396x1024.png,explorer,3,"(396, 1024)","(64, 64)",L
full_guit\raw\explorer\9feca0fc5f55bc9c4b42d4a81509e298.png,full_guit\processed\explorer\9feca0fc5f55bc9c4b42d4a81509e298.png,explorer,3,"(1000, 666)","(64, 64)",L
full_guit\raw\explorer\IGCKEXBANAGH3_beauty.png,full_guit\processed\explorer\IGCKEXBANAGH3_beauty.png,explorer,3,"(2000, 2000)","(64, 64)",L
full_guit\raw\explorer\s-l500.png,full_guit\processed\explorer\s-l500.png,explorer,3,"(500, 374)","(64, 64)",L
